node_label,node_id
29,0
25,2528
19,1
6,3
29,2
13,269
15,270
20,345
11,1037
1,2117
31,3118
9,3704
9,3716
11,3945
12,4459
15,4676
16,5106
7,5645
12,5911
20,3792
10,5099
26,4
9,5137
3,5
11,1047
1,1293
12,4750
18,5711
12,6113
16,6
17,882
8,7
8,2385
3,8
14,340
5,523
15,562
29,1486
24,3024
26,3082
30,3299
23,4235
3,4320
6,4740
2,5392
14,5845
21,9
18,4168
21,10
1,1143
5,4533
30,11
26,1759
14,4052
32,12
5,1826
14,13
12,966
22,1258
25,14
27,90
6,2333
1,15
3,3217
9,16
15,1347
8,17
24,363
11,18
32,1644
17,3218
8,4632
22,19
19,128
14,386
23,752
1,1340
2,1894
8,2454
21,3496
2,5582
13,6158
19,20
27,59
26,175
19,246
32,250
7,362
30,1295
21,1422
31,1533
25,1785
27,1926
32,2134
27,2441
3,2504
14,2517
3,2669
26,2678
25,2760
2,2762
11,2804
32,2816
23,2934
29,3048
13,3346
14,3398
30,3671
15,3933
22,4391
19,4395
16,4434
2,4438
5,5105
11,5500
27,5599
24,5603
10,5642
2,6128
21,6129
31,21
1,959
13,1160
25,1693
32,1876
8,2108
28,2494
14,3180
11,4387
22,4470
6,4743
12,4939
1,4965
6,4966
3,5001
29,6063
19,6164
17,22
27,76
2,186
6,1476
13,1848
17,1954
8,2125
18,4230
28,4351
2,4866
9,5336
5,6153
4,23
29,196
4,1400
4,2306
10,2562
29,2938
3,2995
18,3081
24,3399
17,3615
28,4377
14,4703
23,4856
8,5434
14,5494
28,5550
10,5761
11,6031
15,6130
26,24
6,1806
16,1973
32,2583
18,4973
1,5053
7,25
3,641
28,668
9,4345
11,26
1,31
12,160
8,549
4,895
15,1311
18,1886
32,1960
18,2256
3,2821
24,2883
2,3577
31,4359
6,4499
24,4594
6,5462
20,27
20,1013
15,1577
31,4171
3,28
9,70
4,161
18,1647
8,1871
21,2373
19,2744
15,3726
24,4764
14,29
23,1654
3,3430
15,3674
3,5478
10,30
18,2022
18,39
27,303
18,339
3,498
29,543
9,769
4,861
28,1115
14,1452
28,1823
1,2004
2,2110
16,2174
16,2192
32,2468
18,3161
24,3366
3,3511
4,3540
32,3563
24,3899
22,3961
14,4053
15,4111
4,4123
5,4398
17,4526
18,4852
8,4881
27,4884
4,4886
25,4895
21,5133
21,5559
27,5637
18,5771
29,5931
31,6139
13,32
11,449
27,1477
14,1554
13,1827
10,2595
29,2992
12,3099
27,3100
20,3718
15,3914
30,4545
20,4979
6,6060
19,6067
2,33
21,1382
23,3215
6,5937
6,34
8,65
14,97
32,110
11,179
6,185
21,280
31,305
1,327
6,377
28,473
32,489
19,557
7,609
26,698
32,750
19,777
3,778
28,787
31,889
30,1032
16,1086
13,1191
27,1285
3,1287
19,1324
14,1343
4,1451
8,1479
5,1518
10,1606
13,1627
12,1628
23,1697
13,1967
22,1983
29,2072
1,2083
21,2084
29,2186
7,2325
17,2327
29,2391
26,2398
24,2546
22,2717
25,2727
11,2758
25,2794
21,2828
9,2831
23,2882
4,2901
22,2967
18,2999
7,3197
9,3304
31,3495
10,3500
16,3542
3,3598
20,3621
29,3855
15,3873
10,3876
10,3895
5,3937
7,3960
10,4011
25,4057
4,4058
17,4070
10,4117
32,4124
10,4157
1,4177
22,4372
3,4433
11,4482
14,4610
23,4613
20,4744
5,4756
27,4760
9,4779
22,4781
1,4853
18,4859
21,4952
11,4957
2,4978
24,5037
30,5038
31,5120
6,5174
8,5202
8,5289
10,5294
14,5330
17,5427
3,5460
17,5537
2,5580
13,5607
17,5652
11,5659
13,5709
6,5864
13,5892
24,6048
20,6076
3,6159
11,35
24,681
30,1927
20,36
13,1012
31,1334
6,37
1,81
9,2170
7,2823
24,3554
7,5590
5,38
29,573
15,2861
13,112
7,266
29,444
30,505
10,526
14,536
31,587
22,591
30,594
9,622
3,651
3,699
21,703
26,854
22,956
24,1051
5,1057
13,1087
22,1172
24,1267
26,1304
20,1330
29,1338
26,1368
29,1417
4,1504
18,1645
3,1761
9,1762
14,1766
18,1819
21,1858
21,1892
14,1905
18,1937
30,1943
27,1945
17,1990
20,2009
24,2120
25,2188
22,2281
27,2382
14,2409
16,2442
17,2493
6,2584
20,2684
29,2713
27,2963
12,2973
23,3016
14,3131
9,3354
16,3361
10,3370
13,3385
1,3432
13,3628
21,3690
15,3818
30,3849
10,3869
4,3894
12,3921
28,3975
2,3994
7,4066
12,4079
21,4101
31,4182
4,4195
11,4355
25,4428
18,4447
27,4493
9,4599
23,4709
14,4737
6,4769
17,4868
26,5048
28,5175
30,5264
2,5274
12,5291
8,5339
14,5358
13,5688
20,5783
3,5806
28,5900
17,5977
12,5978
31,40
29,2652
7,3110
32,3380
3,3867
18,4440
21,5204
1,5508
22,5730
31,6016
26,41
7,540
25,896
2,1081
30,1271
7,1315
8,1388
14,1811
32,2262
3,2873
12,3133
2,3248
15,3290
19,3521
16,3732
27,4087
6,4671
18,4767
22,4839
23,4958
30,5299
20,5303
20,5328
4,5430
20,5651
22,5698
22,42
8,4720
23,43
12,1150
7,44
16,494
19,571
32,1493
17,1816
16,2162
7,2417
24,3202
30,4511
7,4558
27,5128
9,5306
8,5461
9,45
28,46
23,4412
4,47
2,3810
9,48
25,2850
24,49
6,6147
13,50
11,2743
10,5754
1,51
1,116
32,586
9,1132
23,1302
12,1629
16,2423
6,2453
30,2847
16,3297
23,3677
14,4054
22,4185
15,4260
12,5236
29,5746
9,52
21,53
4,54
18,55
16,5438
27,56
21,57
17,3532
4,58
14,1064
9,3953
9,4337
27,1852
20,5188
19,60
27,1014
20,1580
18,1624
4,3074
11,3153
29,3760
19,3787
16,5049
27,5193
3,61
7,2655
9,5606
24,62
21,3597
20,63
21,529
30,1350
8,2490
24,3108
15,4189
24,64
19,689
4,5531
8,66
22,2627
18,67
16,68
31,69
12,984
4,201
17,337
7,413
23,435
3,611
11,772
1,1052
32,1103
29,1137
17,1173
27,1219
31,1286
23,1721
3,1988
23,2200
12,2207
23,2264
11,2484
9,2894
31,3000
3,3034
24,3044
23,3209
22,3350
28,3359
30,3391
12,3537
13,3938
14,3986
10,4310
25,4442
17,4679
27,4785
31,4919
8,5295
30,5359
9,5538
9,5542
29,5602
6,5697
25,5699
23,5784
5,6122
16,71
26,72
28,5540
27,73
17,74
7,75
4,108
16,120
9,495
27,510
6,521
31,678
23,1475
4,2017
10,2046
3,2098
18,2300
20,2331
28,2671
3,2888
14,3154
27,3338
10,3756
11,3963
4,4112
18,4383
8,4432
9,4496
11,4621
31,4829
14,4832
26,4953
24,4982
9,5244
21,5443
9,5981
15,6003
24,6106
24,77
24,78
19,1007
30,79
22,4233
9,80
1,598
31,1800
12,2676
18,2876
19,2930
7,5351
21,82
32,5122
1,83
31,2418
11,3501
4,84
17,85
18,3624
13,3669
27,3860
16,4348
26,5625
21,86
8,2316
3,5738
9,6058
17,87
17,88
1,792
8,3568
9,6154
19,89
6,436
30,1197
28,2908
6,5488
29,91
7,214
24,479
15,987
14,2284
12,3557
15,92
14,5908
11,93
25,94
18,95
27,96
11,1206
30,2545
22,2996
27,5509
24,5510
10,5883
3,2211
26,2936
18,3073
19,4007
11,4555
18,4916
26,5091
20,5301
5,5433
32,5938
17,6034
32,98
5,708
14,839
7,1167
29,4159
29,99
20,251
9,2656
11,100
1,3772
19,5857
4,101
19,2272
13,2837
15,4582
17,102
2,103
9,1562
8,104
12,3493
11,105
2,2733
30,106
29,107
13,5569
16,109
23,1667
32,4458
20,4734
22,4798
17,335
20,420
27,943
31,1106
26,1282
23,4425
27,4566
13,5229
32,5851
6,111
13,3478
18,4685
10,1652
32,1976
31,2355
25,3227
16,4659
1,4660
1,4983
23,5662
12,113
12,638
25,114
9,115
9,694
6,1342
24,1631
32,1745
5,2085
12,2168
22,2413
22,2921
31,3583
16,3623
20,3634
24,3734
7,5155
15,5354
4,5541
6,6020
21,791
17,4165
24,5530
30,5769
16,117
22,3633
22,5496
31,5682
22,118
23,3070
22,119
2,3311
3,3545
14,4453
10,1455
11,2965
19,3125
2,3846
11,4292
24,121
13,513
32,3599
14,5554
11,122
16,123
2,1125
2,1555
23,1928
17,2244
6,2294
29,2884
5,4474
22,5544
20,5563
3,5821
6,124
10,125
25,1305
4,1953
32,3187
16,4503
26,5039
1,5621
18,126
7,127
10,1581
29,3434
26,4523
12,5418
7,478
18,1817
24,129
7,130
32,2858
2,131
22,132
1,133
4,2255
13,3730
17,134
9,3127
9,135
22,1177
31,136
29,2592
24,137
4,147
6,795
16,830
8,1961
6,1992
32,2087
1,2097
6,2322
17,2959
8,3229
16,3278
13,3538
2,4831
27,5046
20,5159
20,138
18,1609
26,139
19,140
20,5444
16,6136
20,141
24,4080
29,4380
4,142
1,1436
5,143
26,1763
31,2065
2,144
17,1840
3,145
8,4617
1,146
11,148
13,4648
32,149
11,2464
18,4120
17,4403
19,150
1,533
30,1535
20,1765
28,1985
17,2960
8,2982
13,3665
11,151
26,2138
1,152
27,1501
13,3329
24,4137
23,4451
17,4624
24,153
28,2190
10,154
23,2390
29,155
27,2370
25,156
4,157
27,158
3,2527
16,3659
