from,to
0,1773
0,1817
0,2428
0,3719
0,4426
0,8214
0,9148
1773,1488
1773,1898
1773,2285
1773,3301
1773,3332
1773,3366
1773,4560
1773,7475
1773,8028
1817,1024
1817,2326
1817,3238
1817,3253
1817,3366
1817,3694
1817,3963
1817,4560
1817,4878
1817,5569
1817,7252
1817,10382
1817,11040
2428,2346
2428,4560
2428,5137
2428,5432
2428,5662
2428,6913
2428,8609
2428,9675
3719,850
3719,1287
3719,2035
3719,2611
3719,2764
3719,3366
3719,3482
3719,4005
3719,4560
3719,4590
3719,4723
3719,5882
3719,6874
3719,7271
3719,7711
3719,8172
3719,8281
3719,8401
3719,9110
3719,10655
3719,11274
3719,11881
3719,12159
4426,1898
4426,3366
4426,6147
4426,8028
8214,1533
8214,2096
8214,2202
8214,2400
8214,2438
8214,2589
8214,2598
8214,2614
8214,2670
8214,3238
8214,3253
8214,3366
8214,3620
8214,3963
8214,4164
8214,4560
8214,4878
8214,5569
8214,5636
8214,5689
8214,6418
8214,6615
8214,7030
8214,7071
8214,7218
8214,7465
8214,7640
8214,8042
8214,8375
8214,8441
8214,9535
8214,10547
8214,10553
8214,11041
8214,11213
8214,11658
8214,11681
9148,639
9148,2581
9148,3366
9148,4560
9148,5296
9148,5526
9148,7563
9148,10669
9148,10817
9148,10825
1898,1347
1898,5596
1898,7451
3301,269
3301,12472
3301,7020
3301,9578
3301,533
3301,1760
3301,6392
3301,6448
3332,269
3366,1347
3366,5596
3366,7451
4560,3526
8028,6790
8028,3842
8028,4955
2326,12472
3238,1347
3238,5596
3238,7451
3238,1235
3238,4955
3238,5414
3253,12472
3253,450
5569,450
11040,12472
11040,450
2346,5552
2346,6392
5137,3526
8609,2456
8609,2670
8609,8646
9675,7020
850,3526
850,4955
1287,3526
1287,4955
2035,3526
2611,831
2764,3526
3482,269
3482,3526
3482,6783
3482,1048
3482,4955
3482,5687
4005,6654
4005,3526
4005,5687
4590,831
4723,6654
4723,3526
4723,4955
6874,6790
6874,3526
7271,269
7271,6654
7271,3526
7271,9119
7271,10553
7271,831
7271,1201
7271,4955
7271,5687
7271,6352
7711,1347
7711,7451
7711,269
7711,2891
7711,6654
7711,7190
7711,9573
7711,12472
7711,2456
7711,3526
7711,5130
7711,7020
7711,8646
7711,7224
7711,6
7711,533
7711,831
7711,3842
7711,4066
7711,5451
8281,269
8281,6654
8281,6790
8281,979
8281,3526
8281,5591
8281,7020
8281,1048
8281,3842
8281,4955
8281,5145
8281,5414
8281,5687
9110,6654
9110,6790
9110,979
9110,7020
9110,5145
9110,5687
10655,1505
11274,3526
11881,12472
11881,979
11881,2456
11881,8646
11881,2560
6147,7020
1533,2598
2202,6654
2400,626
2400,269
2400,6654
2400,2456
2400,8646
2400,533
2400,1235
2400,5687
2400,6392
2438,269
2438,790
2438,2891
2438,6149
2438,6654
2438,6790
2438,7190
2438,9377
2438,9573
2438,12472
2438,450
2438,979
2438,2670
2438,6862
2438,9578
2589,12472
2598,3526
2598,6
2598,1235
2598,143
2598,887
2598,1092
2598,2614
2598,3099
2598,3231
2598,3723
2598,3807
2598,4609
2598,5196
2598,5389
2598,5636
2598,5744
2598,5750
2598,6117
2598,6225
2598,6615
2598,7071
2598,7081
2598,7515
2598,7965
2598,8042
2598,8122
2598,8375
2598,10270
2598,11041
2598,11144
2598,11230
2598,11354
2598,11681
2598,12146
2598,12354
2670,3
2670,78
2670,362
2670,401
2670,545
2670,650
2670,771
2670,888
2670,1063
2670,1106
2670,1137
2670,1217
2670,1220
2670,1230
2670,1336
2670,1658
2670,1854
2670,1863
2670,1977
2670,2241
2670,2838
2670,3037
2670,3175
2670,3226
2670,3382
2670,3617
2670,3876
2670,4229
2670,4284
2670,4763
2670,4948
2670,5078
2670,5115
2670,5169
2670,5203
2670,5218
2670,5331
